Domain,"Variable Description","Key Analysis Variable","Flags for Analysis","ANALYSIS DATASET(S) INCLUSION","CB STANDARIZED variable
[max 12 characters = study (C_) + domain (XX) + name (8 char)]","CB SOURCE variable","Type/ Length",Origin,"CB categorical values as they appear on Survey","CB calculation/format","CB timepoints (weeks)","CB SOURCE: Data table(s) (for raw variables only)","CB CRF # (for raw variables only) and Q#",Notes,"BACPAC Harmonization","Reference Documents (original ques/measurement text, code, etc)",References
"Study Administration","Study ID",Yes,,"1) 	 CB Full Dataset
2)	  CB-PAC Dataset
3)	  BH-RC Dataset
4)	  BH-PAC Dataset",C_ID,"AERID 
ANTID 
BP1ID 
BP2ID 
CTCID 
HS1ID 
HS2ID 
ICFID 
MAPID 
MCUID 
MD1ID 
MD2ID 
MD3ID 
MD4ID 
MH1ID 
MH2ID 
MRIID 
PDRID 
PFBID 
PFFID 
PSFID 
QL1ID 
QL2ID 
QSTID 
SCNID 
SP1ID 
SP2ID 
TM1ID 
TM2ID 
TM3ID 
TQ1ID 
TQ2ID","Char 3-5 (CB) or Num 6 (BH)",Raw,NA,"Participant Study ID format is as follows: 
NNN-NNNNN 
(3 digit site ID - 5 digit individual's ID)
e.g., 101-00001

Site codes:
UCSF = 101
UCD = 102
UCI = 103
UCSD = 104",0,CRF1_SCN,#1,,,,
"Study Administration","Visit ID (CB Version)(for all CB forms including those only filled out at one visit)",Yes,,,C_ADVISITID,VisitID,Num/3,Raw,NA,"value visit
                -1='-1:Screening'
                0='0:Baseline'
                1='1:Baseline Redo'
                4='4:week 4'
                8='8:week 8'
                12='12:week 12'
                16='16:week 16'
                20='20:week 20'
                24='26:week 26'
                30='30:week 30'
                34='34:week 34'
                52='52:week 52'
                53='53:week 52 redo'
                76='78:week 78'
                104='104:week 104'
                105='105:week 104 redo'
                999='999:Floating';",?,?,,,,,
"Study Administration","Confirmed Enrolled",Yes,,,C_ADCONFENR,NA,Num/1,Derived,Yes|No,"1 = enrolled (as per listing of enrolled participants, confirmed by the clinical site) ",0,NA,NA,,,,
"Study Administration","Verbal Consent: Permission to begin asking you questions",,,,C_ADVCONSENT,SCNVCONSENT,Num/1,Raw,"1, Yes, verbal consent provided | 0, No | 2, On Hold | 3, N/A, informed consent form already signed","Format=CONS     Possible Values=0,1,2,3
0: No
1: Yes, verbal consent provided
2: On Hold
3: NA - IC already signed",-1,"tblSCN: CRF1: Screening Form","CRF #1|Q1",,,,
"Study Administration","Hardcopy informed consent form signed",,,,C_ADICFSIGN,ICFSIGN,Num/1,Raw,"0, No | 1, Yes","Format=YESNO     Possible Values=0,1 
0: No
1: Yes",0,"tblICF: CRF1a: ICF Completion","CRF #1a|Q1",,,,
"Study Administration","Primary reason consent form not signed",,,,C_ADICFSIGNR,ICFSIGNR,Num/1,Raw,"1, Unwilling to participate in research | 2, Study visits are too much trouble | 3, COVID-19 related issue | 4, Other","NOTE: this is a subquestion of ICFSIGN, see annotated form/mockup for branching logic

Format=CONNS     Possible Values=1,2,3,4
1: Unwilling to participate in research 
2: Study visits are too much trouble
3: COVID-19 related issue
4: Other",0,"tblICF: CRF1a: ICF Completion","CRF #1a|Q1a",,,,
"Study Administration","Specify COVID-related or other reason form not signed",,,,C_ADICFREASP,ICFSIGNRSP,Char/250,Raw,NA,"NOTE: this is a subquestion of ICFSIGNR, see annotated form/mockup for branching logic

NA",0,"tblICF: CRF1a: ICF Completion","CRF #1a|Q1b",,,,
"Study Administration","ICF Version Number",,,,C_ADICFVERSN,ICFVERSION,Num/2,Raw,NA,"NOTE: this is a subquestion of ICFSIGN, see annotated form/mockup for branching logic

Continuous Range: (1-10)",0,"tblICF: CRF1a: ICF Completion","CRF #1a|Q3",,,,
Anthropometrics,"BMI (kg/m^2) (derived)","Yes for F/U only",,,C_ANBMI,BMI,Num/2.1,Derived,NA,"weightkg=antwtlb * 0.45359237;
heightm=(anthtft*12+anthtin)*0.0254;
BMI = WeightKG / HeightM**2;;","-1 if Screening, or  0, 52, 104 if Anthropometry",NA,NA,"If Visit 1, 53 or 105 occurs, may need to combine data with Visit 0, 52 or 104 data",Unknown,,
Anthropometrics,"BMI (kg/m^2) calculated centrally at CC based on height/weight measured at Baseline visit (if measurement is missing, self-reported ht/wt used)","Yes for Baseline only",,,C_ANBMISRCL,C_ANBMISRCL,Num/2.1,Derived,NA,"NOTE: this is a subquestion of SCNVCONSENT, see annotated form/mockup for branching logic

scnheightm=(scnheightf*12+scnheighti)*0.0254;
scnweightkg = scnweight* 0.45359237;
scn_bmi=scnWeightKG / scnHeightM**2;
C_ANBMISRCL=.;
if bmi>. then    C_ANBMISRCL=bmi;
else if scn_bmi>. then    C_ANBMISRCL=scn_bmi ;",-1,NA,NA,,,,
